Module,File,Class,Method,Line,Args,Async,Decorators
ciris_engine,ciris_engine/protocols/faculties.py,EpistemicFaculty,analyze,10,self|content|context,True,abstractmethod
ciris_engine,ciris_engine/protocols/faculties.py,EpistemicFaculty,get_name,24,self,False,abstractmethod
ciris_engine,ciris_engine/protocols/faculties.py,EpistemicFaculty,get_capabilities,29,self,False,abstractmethod
ciris_engine,ciris_engine/logic/utils/graphql_context_provider.py,GraphQLClient,__init__,16,self|endpoint,False,
ciris_engine,ciris_engine/logic/utils/graphql_context_provider.py,GraphQLClient,query,20,self|query_obj,True,
ciris_engine,ciris_engine/logic/utils/graphql_context_provider.py,GraphQLContextProvider,__init__,41,self|graphql_client|memory_service|enable_remote_graphql,False,
ciris_engine,ciris_engine/logic/utils/graphql_context_provider.py,GraphQLContextProvider,enrich_context,52,self|task|thought,True,
ciris_engine,ciris_engine/logic/utils/shutdown_manager.py,ShutdownManagerWrapper,__init__,65,self|service,False,
ciris_engine,ciris_engine/logic/utils/shutdown_manager.py,ShutdownManagerWrapper,__getattr__,68,self|name,False,
ciris_engine,ciris_engine/logic/utils/shutdown_manager.py,ShutdownManagerWrapper,execute_async_handlers,71,self,True,
ciris_engine,ciris_engine/logic/utils/incident_capture_handler.py,IncidentCaptureHandler,__init__,19,self|log_dir|filename_prefix|time_service|graph_audit_service,False,
ciris_engine,ciris_engine/logic/utils/incident_capture_handler.py,IncidentCaptureHandler,_create_symlink,52,self,False,
ciris_engine,ciris_engine/logic/utils/incident_capture_handler.py,IncidentCaptureHandler,emit,62,self|record,False,
ciris_engine,ciris_engine/logic/utils/incident_capture_handler.py,IncidentCaptureHandler,_save_incident_to_graph,98,self|record,True,
ciris_engine,ciris_engine/logic/utils/incident_capture_handler.py,IncidentCaptureHandler,_map_log_level_to_severity,147,self|levelno,False,
ciris_engine,ciris_engine/logic/utils/incident_capture_handler.py,IncidentCaptureHandler,_calculate_urgency,158,self|severity,False,
ciris_engine,ciris_engine/logic/runtime/adapter_manager.py,AdapterInstance,__post_init__,42,self,False,
ciris_engine,ciris_engine/logic/runtime/adapter_manager.py,AdapterManagerInterface,load_adapter,49,self|adapter_type|adapter_id|config_params,True,
ciris_engine,ciris_engine/logic/runtime/adapter_manager.py,AdapterManagerInterface,unload_adapter,53,self|adapter_id,True,
ciris_engine,ciris_engine/logic/runtime/adapter_manager.py,AdapterManagerInterface,reload_adapter,57,self|adapter_id|config_params,True,
ciris_engine,ciris_engine/logic/runtime/adapter_manager.py,AdapterManagerInterface,list_adapters,61,self,True,
ciris_engine,ciris_engine/logic/runtime/adapter_manager.py,AdapterManagerInterface,get_adapter_status,65,self|adapter_id,True,
ciris_engine,ciris_engine/logic/runtime/adapter_manager.py,RuntimeAdapterManager,__init__,72,self|runtime|time_service,False,
ciris_engine,ciris_engine/logic/runtime/adapter_manager.py,RuntimeAdapterManager,load_adapter,78,self|adapter_type|adapter_id|config_params,True,
ciris_engine,ciris_engine/logic/runtime/adapter_manager.py,RuntimeAdapterManager,unload_adapter,140,self|adapter_id,True,
ciris_engine,ciris_engine/logic/runtime/adapter_manager.py,RuntimeAdapterManager,reload_adapter,204,self|adapter_id|config_params,True,
ciris_engine,ciris_engine/logic/runtime/adapter_manager.py,RuntimeAdapterManager,list_adapters,246,self,True,
ciris_engine,ciris_engine/logic/runtime/adapter_manager.py,RuntimeAdapterManager,get_adapter_status,288,self|adapter_id,True,
ciris_engine,ciris_engine/logic/runtime/adapter_manager.py,RuntimeAdapterManager,load_adapter_from_template,359,self|template_name|adapter_id,True,
ciris_engine,ciris_engine/logic/runtime/adapter_manager.py,RuntimeAdapterManager,_register_adapter_services,410,self|instance,True,
ciris_engine,ciris_engine/logic/runtime/adapter_manager.py,RuntimeAdapterManager,_unregister_adapter_services,453,self|instance,True,
ciris_engine,ciris_engine/logic/runtime/adapter_manager.py,RuntimeAdapterManager,get_adapter_info,468,self|adapter_id,True,
ciris_engine,ciris_engine/logic/runtime/adapter_manager.py,RuntimeAdapterManager,get_communication_adapter_status,488,self,False,
ciris_engine,ciris_engine/logic/runtime/modular_service_loader.py,ModularServiceLoader,__init__,22,self|services_dir,False,
ciris_engine,ciris_engine/logic/runtime/modular_service_loader.py,ModularServiceLoader,discover_services,26,self,False,
ciris_engine,ciris_engine/logic/runtime/modular_service_loader.py,ModularServiceLoader,validate_manifest,51,self|manifest,False,
ciris_engine,ciris_engine/logic/runtime/modular_service_loader.py,ModularServiceLoader,check_dependencies,68,self|manifest,False,
ciris_engine,ciris_engine/logic/runtime/modular_service_loader.py,ModularServiceLoader,load_service,94,self|manifest,False,
ciris_engine,ciris_engine/logic/runtime/modular_service_loader.py,ModularServiceLoader,get_service_metadata,139,self|service_name,False,
ciris_engine,ciris_engine/logic/runtime/modular_service_loader.py,ModularServiceLoader,initialize_modular_services,145,self|service_registry|config,True,
ciris_engine,ciris_engine/logic/runtime/module_loader.py,ModuleLoader,__init__,20,self|modules_dir,False,
ciris_engine,ciris_engine/logic/runtime/module_loader.py,ModuleLoader,load_module,26,self|module_name|disable_core,False,
ciris_engine,ciris_engine/logic/runtime/module_loader.py,ModuleLoader,_handle_mock_module,54,self|module_name|manifest|disable_core,False,
ciris_engine,ciris_engine/logic/runtime/module_loader.py,ModuleLoader,_handle_real_module,78,self|module_name|manifest,False,
ciris_engine,ciris_engine/logic/runtime/module_loader.py,ModuleLoader,is_service_type_mocked,90,self|service_type,False,
ciris_engine,ciris_engine/logic/runtime/module_loader.py,ModuleLoader,get_mock_warnings,94,self,False,
ciris_engine,ciris_engine/logic/runtime/module_loader.py,ModuleLoader,initialize_module_services,107,self|module_name|service_registry,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,__init__,55,self|adapter_types|essential_config|startup_channel_id|adapter_configs,False,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,service_registry,107,self,False,property
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,bus_manager,111,self,False,property
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,memory_service,115,self,False,property
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,resource_monitor,119,self,False,property
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,secrets_service,124,self,False,property
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,wa_auth_system,128,self,False,property
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,telemetry_service,132,self,False,property
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,llm_service,136,self,False,property
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,audit_services,140,self,False,property
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,audit_service,144,self,False,property
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,adaptive_filter_service,148,self,False,property
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,agent_config_service,152,self,False,property
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,config_manager,156,self,False,property
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,transaction_orchestrator,161,self,False,property
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,core_tool_service,165,self,False,property
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,time_service,169,self,False,property
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,profile,173,self,False,property
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,maintenance_service,195,self,False,property
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_ensure_shutdown_event,198,self,False,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_ensure_config,206,self,False,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,request_shutdown,212,self|reason,False,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_request_shutdown,230,self|reason,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,set_preload_tasks,234,self|tasks,False,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,get_preload_tasks,239,self,False,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,initialize,243,self,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_initialize_identity,273,self,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_register_initialization_steps,287,self|init_manager,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_initialize_infrastructure,381,self,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_verify_infrastructure,407,self,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_init_database,421,self,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_verify_database_integrity,433,self,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_initialize_memory_service,453,self,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_verify_memory_service,458,self,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_verify_identity_integrity,462,self,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_initialize_security_services,469,self,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_verify_security_services,474,self,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_initialize_services,478,self,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_verify_core_services,491,self,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_initialize_maintenance_service,495,self,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_start_adapters,503,self,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_final_verification,508,self,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_perform_startup_maintenance,538,self,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_register_adapter_services,556,self,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_build_components,618,self,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_register_core_services,626,self,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_build_action_dispatcher,630,self|dependencies,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,run,648,self|num_rounds,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,shutdown,735,self,True,
ciris_engine,ciris_engine/logic/runtime/ciris_runtime.py,CIRISRuntime,_preserve_shutdown_consciousness,917,self,True,
ciris_engine,ciris_engine/logic/runtime/runtime_interface.py,RuntimeInterface,initialize,12,self,True,
ciris_engine,ciris_engine/logic/runtime/runtime_interface.py,RuntimeInterface,run,16,self|num_rounds,True,
ciris_engine,ciris_engine/logic/runtime/runtime_interface.py,RuntimeInterface,shutdown,20,self,True,
ciris_engine,ciris_engine/logic/runtime/component_builder.py,ComponentBuilder,__init__,36,self|runtime,False,
ciris_engine,ciris_engine/logic/runtime/component_builder.py,ComponentBuilder,build_all_components,46,self,True,
ciris_engine,ciris_engine/logic/runtime/component_builder.py,ComponentBuilder,_build_action_dispatcher,255,self|dependencies,True,
ciris_engine,ciris_engine/logic/runtime/identity_manager.py,IdentityManager,__init__,27,self|config|time_service,False,
ciris_engine,ciris_engine/logic/runtime/identity_manager.py,IdentityManager,initialize_identity,32,self,True,
ciris_engine,ciris_engine/logic/runtime/identity_manager.py,IdentityManager,_load_template,65,self|template_path,True,
ciris_engine,ciris_engine/logic/runtime/identity_manager.py,IdentityManager,_get_identity_from_graph,70,self,True,
ciris_engine,ciris_engine/logic/runtime/identity_manager.py,IdentityManager,_save_identity_to_graph,84,self|identity,True,
ciris_engine,ciris_engine/logic/runtime/identity_manager.py,IdentityManager,_create_identity_from_template,99,self|template,True,
ciris_engine,ciris_engine/logic/runtime/identity_manager.py,IdentityManager,verify_identity_integrity,159,self,True,
ciris_engine,ciris_engine/logic/runtime/service_initializer.py,ServiceInitializer,__init__,41,self|essential_config,False,
