ciris_engine/logic/adapters/api/routes/system_extensions.py:17: unused import 'ProcessingSpeedResult' (90% confidence, 1 line)
ciris_engine/logic/adapters/api/routes/telemetry.py:7: unused import 'AnyType' (90% confidence, 1 line)
ciris_engine/logic/adapters/api/services/auth_service.py:539: unused import 'default_backend' (90% confidence, 1 line)
ciris_engine/logic/adapters/discord/discord_observer.py:164: unreachable code after 'return' (100% confidence, 1 line)
ciris_engine/logic/audit/hash_chain.py:17: unused import 'ChainVerificationResult' (90% confidence, 1 line)
ciris_engine/logic/dma/action_selection/context_builder.py:9: unused import 'ENGINE_OVERVIEW_TEMPLATE' (90% confidence, 1 line)
ciris_engine/logic/infrastructure/sub_services/wa_cli_oauth.py:28: unused import 'ITimeService' (90% confidence, 1 line)
ciris_engine/logic/registries/base.py:148: unused variable 'fallback_to_global' (100% confidence, 1 line)
ciris_engine/protocols/adapters/base.py:35: unused variable 'middleware' (100% confidence, 1 line)
ciris_engine/protocols/adapters/base.py:53: unused variable 'input_text' (100% confidence, 1 line)
ciris_engine/protocols/adapters/base.py:86: unused variable 'reaction' (100% confidence, 1 line)
ciris_engine/protocols/adapters/base.py:129: unused variable 'room' (100% confidence, 1 line)
ciris_engine/protocols/adapters/base.py:134: unused variable 'room_id' (100% confidence, 1 line)
ciris_engine/protocols/dma/base.py:65: unused variable 'situation' (100% confidence, 1 line)
ciris_engine/protocols/dma/base.py:83: unused variable 'agents' (100% confidence, 1 line)
ciris_engine/protocols/dma/base.py:93: unused variable 'proposals' (100% confidence, 1 line)
ciris_engine/protocols/infrastructure/base.py:106: unused variable 'subscription_id' (100% confidence, 1 line)
ciris_engine/protocols/infrastructure/base.py:170: unused variable 'update_id' (100% confidence, 1 line)
ciris_engine/protocols/infrastructure/base.py:214: unused variable 'checkpoint_id' (100% confidence, 1 line)
ciris_engine/protocols/infrastructure/base.py:219: unused variable 'checkpoint_id' (100% confidence, 1 line)
ciris_engine/protocols/infrastructure/base.py:241: unused variable 'service_info' (100% confidence, 1 line)
ciris_engine/protocols/processors/agent.py:170: unused variable 'graceful' (100% confidence, 1 line)
ciris_engine/protocols/processors/agent.py:249: unused variable 'multiplier' (100% confidence, 1 line)
ciris_engine/protocols/services/governance/wa_auth.py:43: unused variable 'cert' (100% confidence, 1 line)
ciris_engine/protocols/services/governance/wa_auth.py:132: unused variable 'required_scopes' (100% confidence, 1 line)
ciris_engine/protocols/services/lifecycle/scheduler.py:17: unused variable 'run_at' (100% confidence, 1 line)
ciris_engine/logic/adapters/api/routes/agent.py:18: unused import 'ActiveTask' (90% confidence, 3 lines)
ciris_engine/logic/services/runtime/control_service.py:25: unused import 'ServiceHealthReport' (90% confidence, 3 lines)
ciris_engine/logic/adapters/api/routes/system.py:20: unused import 'AdapterLoadRequest' (90% confidence, 4 lines)
ciris_engine/logic/adapters/api/routes/users.py:9: unused import 'APIUserInfo' (90% confidence, 4 lines)
ciris_engine/protocols/services/governance/wa_auth.py:19: unused import 'OAuthProviderConfigDB' (90% confidence, 4 lines)
ciris_engine/protocols/services/governance/wa_auth.py:19: unused import 'OAuthProviderSummary' (90% confidence, 4 lines)
ciris_engine/logic/adapters/cli/cli_adapter.py:12: unused import 'CLICorrelationData' (90% confidence, 5 lines)
ciris_engine/logic/services/runtime/control_service.py:16: unused import 'CircuitBreakerResetResult' (90% confidence, 9 lines)
ciris_engine/logic/services/runtime/control_service.py:16: unused import 'ConfigBackupResponse' (90% confidence, 9 lines)
ciris_engine/logic/services/runtime/control_service.py:16: unused import 'ServiceRegistryInfo' (90% confidence, 9 lines)
